hash,string,length,frequency,field_count
8c7028e1c7f028dbe1a2a2681915bc79,"London: Printed [by John Haviland, Miles Flesher, and John Beale] for Nath. Butter [, Thomas Pavier, Miles Flesher, John Haviland, George Winder, and Hanna Barret], 1625",169,2,2
c0969b79f3ef356bbc5080f6ce48b7c5,"[Lyon?]: [s.n.], [1504?]",24,2,2
3206f18e0457f6bbde9a2cc5a5b9d87c,"Aldershot, Hants, England; Burlington, VT: Ashgate, c2003",57,2,2
65becc84cf237a251a21577571be1b19,"London: printed for William Sheares, at the signe of the Bible in St. Pauls Church-yard, 1652",93,2,2
66432d4f46fea3df91afcf2ae209e1e5,"London: printed and sold at the Publishing-Office, 1707",55,2,2
a7b75ac80178507d1babdd2934ed11bf,"[Göttingen]: [publisher not identified], [not before 1787]",59,2,2
62a59caf69c992210acb1510b3712aab,"Lisboa, Portugal: Publicações Dom Quixote, Lda, [1999] [Lisboa]: Impressão e acabamento Gráfica Manuel Barbosa & Filhos, Lda",128,2,2
91d8981d2480988eedeae63be9ac382d,"Norman: University of Oklahoma Press, c2007",43,2,2
d9387847b9b84569f38023964072272,"Washington, D.C.: National Academies Press, 2012",48,2,2
7dcd7c9b28d11eb360c29e76fca60d3e,"New York: C. F. Peters Corporation, [2014]",42,2,2
44e0db663799d1250a4b2ce97dc9f9b2,"New York, NY: Columbia Broadcasting System, 2013",48,2,2
fd5200d1772f68c8c0e15e4cf8c5cc96,"Beijing: Hua wen chu ban she, Xin hua shu dian jing xiao, 2005 北京　: 华文出版社　, 新华书店经销, 2005 Di 1 ban 第1版",101,2,2
9e0245d23deff8de81bd4ac501b40a0,"Frankfurt am Main: Deutsche Bibliothek, c1999",45,2,2
a7607ab588b0892eed547fec29b523af,"Berlin; Boston: De Gruyter, [2015]",34,2,2
5da5aad5354a024ab35d725acc6e580b,[London]: [1755],16,2,2
c2860d1637bfffa9b1b459ebc50e9dd4,"New York: Jos. W. Stern & Co, ©1917",35,2,2
8145857794912f22676d883cdc88668d,"London: E. Wilson, 1857-1858",28,2,2
68c6d6d963bbacfebcbccf684c8e41f,"London: E. Wilson, (M'Gowan and Co., printers), 1854",52,2,2
21390894a0e38b7ede9fd51e87cece1f,"Washington, DC: 1919",20,2,2
37d9ca54695df7d99c0e42ac21e6589c,"Chicago: The Reilly & Lee Co, [1919? c1908]",43,2,2
1e9de3be28a3bc694862cfce4c3f38fb,"Jackson: University Press of Mississippi, 2014 Baltimore, Md: Project MUSE, 2014",80,2,2
16e1c6577a6f97c5b60d1ac33ae8bc77,"[Göttingen]: [publisher not identified], [not before 1786]",59,2,2
